,match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
0,12260075,2,3,8,7,,,,,,,,,
1,12260076,1,2,7,4,3,,,,,,,,
2,12260077,2,3,6,7,8,,,,5,7,,,
3,12260078,1,1,7,4,3,,,,,,,,
4,12260080,0,1,3,4,,,,,,,,,
5,12260081,2,2,1,6,3,,,,,,,,
6,12260083,,,,,,,,,,,,,
7,12260085,1,1,4,5,,,,,,,,,
8,12261594,3,3,7,6,,,,,,,,,
9,12261595,2,3,5,7,7,,,,8,,,,
10,12261596,2,1,6,5,2,,,,,,,,
11,12276769,2,3,7,7,,,,,,,,,
12,12276772,1,0,5,5,,,,,,,,,
13,12276773,0,1,5,5,,,,,,,,,
14,12276774,1,0,1,6,,,,,6,,,,
15,12276775,2,3,6,6,,,,,,,,,
16,12276776,3,3,8,6,,,,7,,,,,
17,12276781,3,3,7,7,,,,,7,,,,
18,12276783,3,2,7,3,7,,,,,,,,
19,12276806,1,1,2,4,,,,,,,,,
20,12276816,0,0,3,1,,,,,,,,,
21,12276857,3,3,7,7,,,,,,,,,
22,12276861,1,1,6,3,3,,,,,,,,
23,12276862,2,1,4,7,4,,,,7,,,,
24,12276863,1,0,3,4,,,,,,,,,
25,12276864,3,2,7,8,,,,,7,,,,
26,12276924,3,3,7,7,,,,,,,,,
27,12276925,2,2,6,6,,,,,,,,,
28,12276927,0,1,4,3,,,,,,,,,
29,12276928,1,2,4,7,4,,,,,,,,
30,12276929,2,2,7,6,4,,,9,,,,,
31,12276934,3,3,6,7,,,,,,,,,
32,12276937,0,0,2,3,,,,,,,,,
33,12276938,2,1,2,7,1,,,,,,,,
34,12276975,0,1,5,0,,,,,,,,,
35,12276976,2,3,7,7,,,,,,,,,
36,12276978,2,2,6,6,7,,,,,,,,
37,12276981,2,2,6,7,,,,,,,,,
38,12276983,0,0,5,,,,,,,,,,
39,12276986,1,2,4,7,2,,,,,,,,
40,12276987,2,1,0,6,1,,,,,,,,
41,12287004,2,3,7,6,,,,7,,,,,
42,12287005,0,0,3,1,,,,,,,,,
43,12287006,2,2,7,4,6,,,8,,,,,
44,12287007,,,6,0,,,,,,,,,
45,12287008,1,2,3,8,6,,,,8,5,,,
46,12287009,0,1,7,6,,,,3,,,,,
47,12287010,,,,,,,,,,,,,
48,12287011,1,0,6,2,,,,,,,,,
49,12287012,1,0,1,7,,,,,3,,,,
50,12287013,1,2,7,5,4,,,,,,,,
51,12288044,1,0,5,3,,,,,,,,,
52,12288048,3,3,7,6,,,,,,,,,
53,12288050,,,,,,,,,,,,,
54,12288414,,,,,,,,,,,,,
55,12288415,,,,,,,,,,,,,
56,12288416,,,,,,,,,,,,,
57,12288417,1,1,2,3,,,,,,,,,
58,12288418,,,,,,,,,,,,,
59,12288419,2,2,7,7,2,,,2,7,,,,
60,12288420,0,1,3,3,,,,,,,,,
61,12288421,1,0,4,4,,,,,,,,,
62,12288918,0,0,3,6,,,,,,,,,
63,12288919,2,2,6,6,5,,,,3,,,,
64,12288920,2,2,7,7,,,,7,,,,,
65,12288921,0,1,6,0,,,,,,,,,
66,12288922,2,2,7,3,7,,,,,,,,
67,12288923,3,3,3,7,7,,,,,,,,
68,12288924,3,3,7,7,,,,,,,,,
69,12288925,1,2,8,4,,,,8,,,,,
70,12288926,3,2,7,7,7,,,,8,,,,
71,12288929,2,3,6,7,6,,,,3,,,,
72,12288930,2,2,3,6,6,,,,,,,,
73,12288931,,,,,,,,,,,,,
74,12288932,0,0,2,4,,,,,,,,,
75,12288933,2,3,7,4,6,,,,,,,,
76,12289656,2,2,6,7,,,,,,,,,
77,12289658,1,0,1,4,,,,,,,,,
78,12289660,3,2,7,6,,,,,,,,,
79,12289663,0,0,2,2,,,,,,,,,
80,12289664,2,3,7,4,8,,,,,8,,,
81,12289665,,,,,,,,,,,,,
82,12289667,1,0,3,4,,,,,,,,,
83,12289668,0,0,4,4,,,,,,,,,
84,12289670,2,2,3,7,6,,,,,,,,
85,12289671,1,0,7,2,,,,6,,,,,
86,12289672,3,2,6,7,,,,,,,,,
87,12289674,,,,,,,,,,,,,
88,12289675,2,3,7,4,6,,,8,,,,,
89,12289677,1,2,6,3,0,,,,,,,,
90,12289678,2,2,7,5,7,,,,,,,,
91,12289690,2,3,7,7,,,,,,,,,
92,12289691,2,3,7,6,,,,,,,,,
93,12290721,0,0,3,3,,,,,,,,,
94,12291185,1,1,7,2,,,,2,,,,,
95,12291277,0,0,2,3,,,,,,,,,
96,12291304,0,0,3,3,,,,,,,,,
97,12291487,0,0,0,2,,,,,,,,,
98,12291488,0,0,2,1,,,,,,,,,
99,12291489,2,2,7,6,8,,,,5,8,,,
100,12291490,1,1,2,7,1,,,,,,,,
101,12291491,2,2,7,7,,,,,,,,,
102,12291492,1,2,7,1,2,,,,,,,,
103,12291493,2,2,6,7,,,,,,,,,
104,12291497,3,3,6,7,,,,,,,,,
105,12291498,0,0,1,3,,,,,,,,,
106,12291506,2,3,7,6,,,,,,,,,
107,12291593,2,3,7,6,,,,7,,,,,
108,12291657,2,1,2,7,4,,,,,,,,
109,12291659,0,0,1,5,,,,,,,,,
110,12291660,0,0,2,1,,,,,,,,,
111,12291698,1,2,6,6,2,,,,,,,,
112,12291700,1,1,2,3,,,,,,,,,
113,12291702,3,2,6,4,6,,,,,,,,
114,12291704,2,3,7,6,,,,,,,,,
115,12291706,1,0,4,5,,,,,,,,,
116,12291709,2,2,6,3,4,,,,,,,,
117,12291711,1,1,6,4,4,,,,,,,,
118,12291712,2,1,7,6,1,,,,,,,,
119,12291714,2,3,7,6,,,,,,,,,
120,12291819,0,1,6,4,,,,,,,,,
121,12291832,1,0,7,4,,,,5,,,,,
122,12291833,2,2,5,6,11,,,,,,,,
123,12292132,2,2,6,5,6,,,,,,,,
124,12292140,0,1,1,1,,,,,,,,,
125,12292146,0,1,2,1,,,,,,,,,
126,12292148,1,0,3,,,,,,,,,,
127,12292151,3,3,7,7,,,,,,,,,
128,12292279,2,2,6,6,2,,,,,,,,
129,12292282,2,3,6,3,7,,,,,7,,,
130,12292287,0,0,4,3,,,,,,,,,
131,12292484,0,0,1,3,,,,,,,,,
132,12292485,3,2,6,7,,,,,,,,,
133,12292487,0,1,3,1,,,,,,,,,
134,12292489,1,0,3,2,,,,,,,,,
