,match_id,current_score,display_score,period_1,period_2,period_3,period_4,period_5,period_1_tie_break,period_2_tie_break,period_3_tie_break,period_4_tie_break,period_5_tie_break,normal_time
0,12260075,1,1,6,5,,,,,,,,,
1,12260076,3,2,6,7,6,,,,,,,,
2,12260077,2,2,4,7,7,,,,8,5,,,
3,12260078,3,3,5,7,7,,,,,,,,
4,12260080,2,2,6,6,,,,,,,,,
5,12260081,3,3,6,4,7,,,,,,,,
6,12260083,,,,,,,,,,,,,
7,12260085,2,3,6,8,,,,,,,,,
8,12261594,1,0,1,5,,,,,,,,,
9,12261595,1,2,6,6,6,,,,5,,,,
10,12261596,3,2,0,8,7,,,,,,,,
11,12276769,1,1,2,2,,,,,,,,,
12,12276772,2,3,7,7,,,,,,,,,
13,12276773,2,3,7,7,,,,,,,,,
14,12276774,3,2,6,7,,,,,7,,,,
15,12276775,0,0,4,2,,,,,,,,,
16,12276776,1,0,6,1,,,,1,,,,,
17,12276781,1,0,6,6,,,,,3,,,,
18,12276783,1,2,3,6,3,,,,,,,,
19,12276806,3,3,7,6,,,,,,,,,
20,12276816,3,3,6,7,,,,,,,,,
21,12276857,1,0,3,0,,,,,,,,,
22,12276861,2,3,3,6,7,,,,,,,,
23,12276862,3,3,6,7,7,,,,3,,,,
24,12276863,3,2,7,6,,,,,,,,,
25,12276864,0,1,7,6,,,,,4,,,,
26,12276924,0,1,4,5,,,,,,,,,
27,12276925,0,0,5,3,,,,,,,,,
28,12276927,2,2,7,7,,,,,,,,,
29,12276928,2,3,6,5,7,,,,,,,,
30,12276929,2,2,6,7,6,,,7,,,,,
31,12276934,1,0,1,0,,,,,,,,,
32,12276937,3,3,7,7,,,,,,,,,
33,12276938,3,3,6,3,7,,,,,,,,
34,12276975,3,2,6,6,,,,,,,,,
35,12276976,0,0,2,2,,,,,,,,,
36,12276978,1,1,3,8,6,,,,,,,,
37,12276981,1,1,3,1,,,,,,,,,
38,12276983,1,0,7,,,,,,,,,,
39,12276986,3,2,6,4,7,,,,,,,,
40,12276987,3,3,6,2,6,,,,,,,,
41,12287004,0,1,7,0,,,,1,,,,,
42,12287005,2,3,6,6,,,,,,,,,
43,12287006,1,2,6,7,2,,,6,,,,,
44,12287007,,,2,1,,,,,,,,,
45,12287008,2,3,7,7,8,,,,6,7,,,
46,12287009,2,3,7,7,,,,7,,,,,
47,12287010,,,,,,,,,,,,,
48,12287011,3,3,8,7,,,,,,,,,
49,12287012,2,3,7,7,,,,,8,,,,
50,12287013,2,2,3,6,7,,,,,,,,
51,12288044,2,2,8,6,,,,,,,,,
