,match_id,round_id,name,slug,cup_round_type
0,12260075,5,Round of 16,round-of-16,8
1,12260076,5,Round of 16,round-of-16,8
2,12260077,5,Round of 16,round-of-16,8
3,12260078,27,Quarterfinals,quarterfinals,4
4,12260080,5,Round of 16,round-of-16,8
5,12260081,27,Quarterfinals,quarterfinals,4
6,12260083,27,Quarterfinals,quarterfinals,4
7,12260085,5,Round of 16,round-of-16,8
8,12261594,27,Quarterfinals,quarterfinals,4
9,12261595,27,Quarterfinals,quarterfinals,4
10,12261596,27,Quarterfinals,quarterfinals,4
11,12276769,5,Round of 16,round-of-16,8
12,12276772,5,Round of 16,round-of-16,8
13,12276773,5,Round of 16,round-of-16,8
14,12276774,5,Round of 16,round-of-16,8
15,12276775,5,Round of 16,round-of-16,8
16,12276776,5,Round of 16,round-of-16,8
17,12276781,5,Round of 16,round-of-16,8
18,12276783,5,Round of 16,round-of-16,8
19,12276806,5,Round of 16,round-of-16,8
20,12276816,5,Round of 16,round-of-16,8
21,12276857,5,Round of 16,round-of-16,8
22,12276861,5,Round of 16,round-of-16,8
23,12276862,5,Round of 16,round-of-16,8
24,12276863,5,Round of 16,round-of-16,8
25,12276864,5,Round of 16,round-of-16,8
26,12276924,5,Round of 16,round-of-16,8
27,12276925,5,Round of 16,round-of-16,8
28,12276927,5,Round of 16,round-of-16,8
29,12276928,5,Round of 16,round-of-16,8
30,12276929,5,Round of 16,round-of-16,8
31,12276934,5,Round of 16,round-of-16,8
32,12276937,5,Round of 16,round-of-16,8
33,12276938,5,Round of 16,round-of-16,8
34,12276975,5,Round of 16,round-of-16,8
35,12276976,5,Round of 16,round-of-16,8
36,12276978,5,Round of 16,round-of-16,8
37,12276981,5,Round of 16,round-of-16,8
38,12276983,5,Round of 16,round-of-16,8
39,12276986,5,Round of 16,round-of-16,8
40,12276987,5,Round of 16,round-of-16,8
41,12287004,6,Round of 32,round-of-32,16
42,12287005,6,Round of 32,round-of-32,16
43,12287006,6,Round of 32,round-of-32,16
44,12287007,6,Round of 32,round-of-32,16
45,12287008,6,Round of 32,round-of-32,16
46,12287009,6,Round of 32,round-of-32,16
47,12287010,6,Round of 32,round-of-32,16
48,12287011,6,Round of 32,round-of-32,16
49,12287012,6,Round of 32,round-of-32,16
50,12287013,6,Round of 32,round-of-32,16
51,12288044,6,Round of 32,round-of-32,16
52,12288048,6,Round of 32,round-of-32,16
53,12288050,6,Round of 32,round-of-32,16
54,12288414,5,Round of 16,round-of-16,8
55,12288415,5,Round of 16,round-of-16,8
56,12288416,5,Round of 16,round-of-16,8
57,12288417,5,Round of 16,round-of-16,8
58,12288418,5,Round of 16,round-of-16,8
59,12288419,5,Round of 16,round-of-16,8
