,match_id,tournament_id,tournament_name,tournament_slug,tournament_unique_id,tournament_category_name,tournament_category_slug,user_count,ground_type,tennis_points,has_event_player_statistics,crowd_sourcing_enabled,has_performance_graph_feature,display_inverse_home_away_teams,priority,competition_type
0,12260075,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12763,Red clay,1000,False,True,False,True,0,2
1,12260076,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12750,Red clay,1000,False,False,True,True,0,2
2,12260077,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12760,Red clay,1000,False,False,False,False,0,2
3,12260078,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12760,Red clay,1000,True,True,True,True,0,2
4,12260080,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12760,Red clay,1000,True,False,False,True,0,2
5,12260081,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12763,Red clay,1000,False,True,False,False,0,2
6,12260083,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12750,Red clay,1000,True,True,True,True,0,2
7,12260085,129164,"Madrid, Spain",madrid-spain,,ATP,atp,12760,Red clay,1000,False,True,False,False,0,2
8,12261594,129201,"Madrid, Spain",madrid-spain,,WTA,wta,3502,Red clay,1000,True,True,True,False,0,2
9,12261595,129201,"Madrid, Spain",madrid-spain,,WTA,wta,3502,Red clay,1000,True,True,False,True,0,2
10,12261596,129201,"Madrid, Spain",madrid-spain,,WTA,wta,3504,Red clay,1000,False,False,False,False,0,2
11,12276769,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,True,True,True,True,0,2
12,12276772,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,True,False,True,True,0,2
13,12276773,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,True,True,True,False,0,2
14,12276774,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,False,True,False,False,0,2
15,12276775,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,True,False,False,True,0,2
16,12276776,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,False,False,False,False,0,2
17,12276781,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,False,True,False,True,0,2
18,12276783,129510,"Guangzhou, China",guangzhou-china,,Challenger,challenger,143,Hardcourt outdoor,75,True,False,False,True,0,2
19,12276806,129514,"Porto Alegre, Brazil",porto-alegre-brazil,,Challenger,challenger,72,Red clay,,True,True,True,True,0,2
20,12276816,129514,"Porto Alegre, Brazil",porto-alegre-brazil,,Challenger,challenger,72,Red clay,,True,True,False,False,0,2
21,12276857,129522,"Cagliari, Italy",cagliari-italy,,Challenger,challenger,322,Red clay,175,True,True,True,True,0,2
22,12276861,129522,"Cagliari, Italy",cagliari-italy,,Challenger,challenger,319,Red clay,175,False,False,False,False,0,2
