,match_id,city,stadium,venue_id,country
0,12260075,Madrid,Manolo Santana,21462,Spain
1,12260076,Madrid,ARANTXA SANCHEZ VICARIO,21466,Spain
2,12260077,Madrid,Manolo Santana,21462,Spain
3,12260078,Madrid,Manolo Santana,21462,Spain
4,12260080,Madrid,ARANTXA SANCHEZ VICARIO,21466,Spain
5,12260081,Madrid,Manolo Santana,21462,Spain
6,12260085,Madrid,ARANTXA SANCHEZ VICARIO,21466,Spain
7,12261594,Madrid,Manolo Santana,21462,Spain
8,12261595,Madrid,Manolo Santana,21462,Spain
9,12261596,Madrid,Manolo Santana,21462,Spain
10,12276769,Guangzhou,Court 2,41517,China
11,12276772,Guangzhou,Center Court,41518,China
12,12276773,Guangzhou,Court 6,41623,China
13,12276774,Guangzhou,Court 2,41517,China
14,12276775,Guangzhou,Center Court,41518,China
15,12276776,Guangzhou,Court 2,41517,China
16,12276781,Guangzhou,Center Court,41518,China
17,12276783,Guangzhou,Center Court,41518,China
18,12276806,Porto Alegre,Indoor 2,44264,Brazil
19,12276816,Porto Alegre,Indoor 1,44263,Brazil
20,12276857,Cagliari,Campo Centrale,31785,Italy
21,12276861,Cagliari,Campo 14,31783,Italy
22,12276862,Cagliari,Campo 2,31784,Italy
23,12276863,Cagliari,Campo 14,31783,Italy
24,12276864,Cagliari,Campo Centrale,31785,Italy
25,12276924,Saint Malo,Court 2,26629,France
26,12276925,Saint Malo,Court 1,26627,France
27,12276927,Saint Malo,Central,29581,France
28,12276928,Saint Malo,Central,29581,France
29,12276929,Saint Malo,Central,29581,France
30,12276934,Saint Malo,Court 1,26627,France
31,12276937,Saint Malo,Court 1,26627,France
32,12276938,Saint Malo,Central,29581,France
33,12276975,Lleida,Centre Court,44253,Spain
34,12276976,Lleida,Court 2,44262,Spain
35,12276978,Lleida,Centre Court,44253,Spain
36,12276981,Lleida,Court 1,44254,Spain
37,12276983,Lleida,Centre Court,44253,Spain
38,12276986,Lleida,Court 1,44254,Spain
39,12276987,Lleida,Court 2,44262,Spain
40,12287004,Porto Alegre,Indoor 1,44263,Brazil
