,match_id,home_vote,away_vote
0,12260075,5926,8590
1,12260076,7974,1618
2,12260077,5378,3602
3,12260078,2458,4290
4,12260080,2074,11490
5,12260081,17722,7624
6,12260083,1434,1472
7,12260085,2318,6194
8,12261594,1162,5460
9,12261595,340,1284
10,12261596,2318,11406
11,12276769,300,610
12,12276772,202,266
13,12276773,212,654
14,12276774,296,522
15,12276775,1024,598
16,12276776,428,392
17,12276781,24,344
18,12276783,472,1384
19,12276806,370,22
20,12276816,128,116
21,12276857,228,2498
22,12276861,648,214
23,12276862,556,896
24,12276863,516,278
25,12276864,160,2746
26,12276924,1154,298
27,12276925,190,10
28,12276927,732,126
29,12276928,674,472
30,12276929,1142,114
31,12276934,734,774
32,12276937,318,520
33,12276938,52,24
34,12276975,1574,436
35,12276976,134,40
36,12276978,502,406
37,12276981,212,880
38,12276983,6,430
39,12276986,596,192
40,12276987,860,170
41,12287004,90,6
42,12287005,352,130
43,12287006,168,156
44,12287007,62,586
45,12287008,22,166
46,12287009,162,956
47,12287010,98,56
48,12287011,44,0
49,12287012,308,1738
50,12287013,208,750
51,12288044,58,346
52,12288048,16,134
53,12288050,22,96
54,12288414,14,22
55,12288415,50,130
56,12288416,0,64
57,12288417,62,22
58,12288418,10,22
59,12288419,160,52
60,12288420,124,22
61,12288421,0,16
62,12288918,3744,108
63,12288919,864,464
64,12288920,2044,370
65,12288921,2434,184
66,12288922,14,1726
67,12288923,174,2640
68,12288924,48,50
69,12288925,1258,1754
70,12288926,22,296
71,12288929,814,186
72,12288930,256,664
73,12288931,388,282
74,12288932,460,620
75,12288933,294,1102
76,12289656,0,40
77,12289658,16,64
78,12289660,2,120
79,12289663,56,6
80,12289664,22,82
81,12289665,0,4
82,12289667,76,38
83,12289668,20,32
84,12289670,4,80
85,12289671,30,52
86,12289672,30,10
87,12289674,2,2
88,12289675,4,94
89,12289677,92,14
90,12289678,20,6
91,12289690,10,4
92,12289691,20,34
93,12290721,384,102
94,12291185,96,0
95,12291277,62,0
96,12291304,16,30
97,12291487,42,0
98,12291488,18,4
99,12291489,16,42
100,12291490,18,8
101,12291491,4,48
102,12291492,20,6
103,12291493,10,0
104,12291497,2,28
105,12291498,10,2
106,12291506,28,100
107,12291593,18,66
108,12291657,38,110
109,12291659,134,22
110,12291660,188,20
111,12291698,2,30
112,12291700,8,260
113,12291702,126,334
114,12291704,48,568
115,12291706,172,194
116,12291709,132,442
117,12291711,152,216
118,12291712,72,250
119,12291714,62,124
120,12291819,32,16
121,12291832,24,24
122,12291833,0,10
